phone,price,brand
Huawei Honor 5C 16GB - Gold,769.00,Huawei
Huawei Y5 II CUN-L22 - White [FREE GIFT: Mini Rubber Mobile Stand],488.00,Huawei
Xiaomi Redmi Note 3 32GB + 3GB Ram (Officially Xiaomi Malaysia Set) Grey,869.00,Xiaomi
Xiaomi Redmi Note 3 32GB + 3GB Ram (Officially Xiaomi Malaysia Set) Gold,849.00,Xiaomi
Huawei Honor 5C 16GB - Grey,749.00,Huawei
Huawei Honor 5C 16GB - Silver,749.00,Huawei
Sony Xperia X F5122 64GB/3GB - White,"2,199.00",Sony
"Xiaomi Mi 4i (16GB+2GB Ram) LTE 5.0"" (Grey) Original Xiaomi Malaysia",599.00,Xiaomi
Xiaomi Mi5 Mi 5 [32GB] Snapdragon 820 Original Xiaomi Malaysia Set (White),"1,499.00",Xiaomi
Xiaomi Mi Note 4G 64GB White [OFFICIAL XIAOMI WARRANTY],"1,299.00",Xiaomi
"LENOVO A7000 PLUS 5.5"" 13MP 16GB+2GB TRU8CORE (BLACK) ORI LENOVO",499.00,Lenovo
Sony Xperia X F5122 64GB/3GB - Rose Gold,"2,199.00",Sony
Sony Xperia X F5122 64GB/3GB - Gold,"2,199.00",Sony
Sony Xperia X F5122 64GB/3GB - Graphite Black,"2,199.00",Sony
LG G5 LG-H860 32GB (Pink) [FREE GIFT : Battery Kit] [Original LG Malaysia Warranty],"2,299.00",LG
Lenovo K4 Note A7010 16GB (White),799.00,Lenovo
LG G5 LG-H860 32GB (Titanium) [FREE GIFT : Battery Kit] [Original LG Malaysia Warranty],"2,299.00",LG
LG G5 LG-H860 32GB (Gold) [FREE GIFT : Battery Kit] [Original LG Malaysia Warranty],"2,299.00",LG
"Samsung Galaxy Tab A with S Pen 4G - 8""/2GB/16GB (Grey)","1,059.00",Samsung
"Samsung Galaxy Tab A with S Pen 4G - 8""/2GB/16GB (White)","1,059.00",Samsung
Samsung Galaxy J7 2016 16GB - White,979.00,Samsung
Xiaomi Mi Note 64GB + 3GB Ram Officially Xiao Mi Malaysia Warranty (White),"1,199.00",Xiaomi
"LENOVO A7000 PLUS 5.5"" 13MP 16GB+2GB TRU8CORE (WHITE) ORI LENOVO",499.00,Lenovo
[IMPORTS] Xiaomi Redmi Note 3 Pro 32GB Gold [FREE GIFT : FLIP CASING+TEMPERED GLASS],749.00,Xiaomi
Apple iPhone SE 64GB Silver (MLM72MY/A),"2,099.00",Apple
[2016] Samsung Galaxy A3 16GB (Gold),"1,209.00",Samsung
[2016] Samsung Galaxy A3 16GB (Pink Gold),"1,209.00",Samsung
[2016] Samsung Galaxy A3 16GB (White),"1,209.00",Samsung
Apple iPhone SE 16GB Silver (MLLP2MY/A),"1,849.00",Apple
Apple iPhone SE 16GB Gold (MLXM2MY/A),"1,849.00",Apple
[2016] Samsung Galaxy A7 16GB (Black),"1,739.00",Samsung
[2016] Samsung Galaxy A7 16GB (Gold),"1,739.00",Samsung
[2016] Samsung Galaxy A7 16GB (Pink Gold),"1,739.00",Samsung
Apple iPhone 5S 16GB Space Gray (MF352MY/A),"1,069.00",Apple
Apple iPhone 5S 16GB Silver (MF353MY/A),"1,069.00",Apple
Apple iPhone SE 16GB Rose Gold (MLXN2MY/A),"1,849.00",Apple
Apple iPhone SE 16GB Space Gray (MLLN2MY/A),"1,849.00",Apple
[2016] Samsung Galaxy A7 16GB (White),"1,739.00",Samsung
[2016] Samsung Galaxy J5 16GB (Black),849.00,Samsung
[2016] Samsung Galaxy J5 16GB (Gold),849.00,Samsung
Asus Zenfone 2 ZE551ML 32GB (Red),649.00,ASUS
Asus Zenfone 2 ZE551ML 64GB (Black),799.00,ASUS
ASUS ZENFONE 3 ULTRA 64GB/4GB (ZU680KL) - Glacier Silver,"2,395.00",ASUS
[2016] Samsung Galaxy J5 16GB (White),849.00,Samsung
"Acer One 10 S1002-17Y5 (Grey) - 10.1""/Atom Z3735F/2GB/32GB/W10/Office Mobile",927.00,Acer
Apple iPhone 5S 16GB (Silver) Original Malaysia Set,"1,299.00",Apple
"MI MAX 3GB RAM /32 GB ROM- 6.44"" [GOLD] (MALAYSIA SET)",935.00,Xiaomi
"MI MAX 3GB RAM /32 GB ROM- 6.44"" [SILVER] (MALAYSIA  SET)",935.00,Xiaomi
HUAWEI HONOR 8 - 4GB / 32GB (WHITE) [FREE TEMPERED GLASS+SILICON CASE+POWERBANK+SELFIE STICK],"1,699.00",Huawei
HUAWEI HONOR 8 - 4GB / 32GB (BLACK)  [FREE TEMPERED GLASS+SILICON CASE+POWERBANK+SELFIE STICK],"1,699.00",Huawei
Apple iPhone 5S 16GB (Space Grey) Original Malaysia Set,"1,299.00",Apple
Asus Padfone S Plus PF500KL (White) 3GB+64GB,719.00,ASUS
Asus Zenfone 2 (ZE551ML) LTE 4GB RAM/32GB ROM  - Glamor Red,959.00,ASUS
HUAWEI HONOR 8 - 4GB / 64GB (BLUE) [FREE TEMPERED GLASS+SILICON CASE+POWERBANK+SELFIE STICK],"1,899.00",Huawei
HUAWEI HONOR 8 - 4GB / 64GB (GOLD) [FREE TEMPERED GLASS+SILICON CASE+POWERBANK+SELFIE STICK],"1,899.00",Huawei
Asus ZenFone 3 Max (ZC520TL) 5.2' 3GB RAM / 32GB (Sand Gold),689.00,ASUS
Asus ZenFone 3 Max (ZC520TL) 5.2' 3GB RAM / 32GB (Titanium Gray),689.00,ASUS
Asus Zenfone 2 (ZE551ML) LTE 4GB RAM/32GB ROM - Osmium Black,959.00,ASUS
Asus ZenFone Go ZC500TG-1A082WW 16GB (Black),479.00,ASUS
ASUS ZENFONE LIVE 16GB (G500TG) - BLACK,489.00,ASUS
Asus ZenFone 3 (ZE520KL)‏ Moonlight White 5.2' 4GB RAM / 64GB,"1,269.00",ASUS
Asus ZenFone 3 (ZE520KL)‏ Sapphire Black 5.2' 4GB RAM / 64GB,"1,269.00",ASUS
Samsung J7 16GB Black (2016),940.00,Samsung
Samsung J7 16GB White (2016),940.00,Samsung
ASUS ZENFONE LIVE 16GB (G500TG) - WHITE,489.00,ASUS
HTC Desire 628 32GB (Sunset Blue),769.00,HTC
HTC Desire 628 Dual Sim 32GB (Cobalt White),769.00,HTC
Huawei Honor 5C 16GB (Gold),759.00,Huawei
Samsung J7 16GB Gold (2016),940.00,Samsung
Samsung Galaxy J1 Ace LTE (2016) White 4.3' 1GB RAM / 8GB (SM-J111FZ),359.00,Samsung
Samsung Galaxy J1 Ace LTE (2016) Black 4.3' 1GB RAM / 8GB (SM-J111FZ),359.00,Samsung
Huawei Honor 5C 16GB (Grey),759.00,Huawei
Huawei Honor 5C 16GB (Silver),759.00,Huawei
Huawei Honor 5X 16GB (Gold),849.00,Huawei
Samsung Galaxy J1 Ace LTE (2016) Blue 4.3' 1GB RAM / 8GB (SM-J111FZ),359.00,Samsung
Xiaomi Redmi 3S Pro 32GB Gold [FREE GIFT: Tempered Glass + Silicone Case],699.00,Xiaomi
Xiaomi Redmi 3S Pro 32GB Gold [FREE GIFT: Antivirus Karpersky],679.00,Xiaomi
Huawei Honor 5X 16GB (Silver),849.00,Huawei
DING DING GUIDE S1 5.5 3GB+32GB (GOLD) [FREE GIFT : VR BOX],958.00,Ding Ding
DING DING GUIDE S1 5.5 3GB+32GB (BLACK) [FREE GIFT : VR BOX],958.00,Ding Ding
DING DING GUIDE S1 5.5 3GB+32GB (WHITE) [FREE GIFT : VR BOX],958.00,Ding Ding
"SAMSUNG GALAXY J5 2016 16GB 5.2""- WHITE",769.00,Samsung
Samsung Galaxy J5 (2016) (SM-J510GZ) 16GB - White,759.00,Samsung
Samsung Galaxy J5 (2016) (SM-J510GZ) 16GB - Black,759.00,Samsung
Asus Zenfone Live G500TG 16GB White/Yellow,459.00,ASUS
Samsung Galaxy Note 5 Dual SIM 32GB White Pearl,"2,370.00",Samsung
Samsung Galaxy Note 5 Dual SIM 32GB Silver Titanium,"2,370.00",Samsung
"SAMSUNG GALAXY J5 2016 16GB 5.2""- BLACK",769.00,Samsung
"SAMSUNG GALAXY J7 2016 16GB 5.5""- GOLD",929.00,Samsung
"SAMSUNG GALAXY J7 2016 16GB 5.5""- WHITE",929.00,Samsung
"SAMSUNG GALAXY J7 2016 16GB 5.5""- BLACK",929.00,Samsung
Huawei P9 Titanium Grey [FREE GIFT : TEMPERED GLASS],"1,819.00",Huawei
Xiaomi Redmi Note 3 32GB Gold [FREE GIFT: 64GB Memory Card & Tempered Glass],888.00,Xiaomi
Huawei G8 RIO-L01 (Gold),"1,049.00",Huawei
Huawei G8 RIO-L01 (Space Grey),"1,049.00",Huawei
Huawei Y541 -U02 (Black),257.00,Huawei
SAMSUNG GALAXY J3 2016 8GB - GOLD,575.00,Samsung
SAMSUNG GALAXY J3 2016 8GB - BLACK,575.00,Samsung
SAMSUNG GALAXY J3 2016 8GB - WHITE,575.00,Samsung
"SAMSUNG GALAXY J5 2016 16GB 5.2""- GOLD",769.00,Samsung
Huawei Y541 -U02 (White),257.00,Huawei
Huawei Honor 5C NEM-L22 Gold [FREE GIFT : LOCA TEMPERED GLASS + BACK CASING],759.00,Huawei
Asus Zenfone Zoom 128GB ZX551ML Black,999.00,ASUS
Asus Zenfone Zoom 128GB ZX551ML White,999.00,ASUS
Huawei P9 Lite 16GB Black [FREE GIFT : TEMPERED GLASS],939.00,Huawei
Huawei P9 Lite 16GB Gold [FREE GIFT : TEMPERED GLASS],939.00,Huawei
Huawei P9 Lite 16GB White [FREE GIFT : TEMPERED GLASS],939.00,Huawei
Huawei P9 Haze Gold [FREE GIFT : TEMPERED GLASS],"1,819.00",Huawei
Lenovo K4 Note Smartphone | Affordable Multimedia-Rich - White (Octa Core 1.3Ghz / 3GB RAM / 16GB),862.00,Lenovo
"Lenovo A7000 Plus | Big Sound, Big Screen - White (Octa Core 1.7Ghz / 2GB RAM / 16GB)",553.00,Lenovo
BlackBerry Q5 8GB (Pure White),489.00,Blackberry
BlackBerry Q5 8GB (Piano Black),489.00,Blackberry
Huawei P9 Mystic Silver [FREE GIFT : TEMPERED GLASS],"1,819.00",Huawei
Samsung Galaxy A5(2016) (Pink Gold),"1,299.00",Samsung
Samsung Galaxy A7(2016) (Pink Gold),"1,599.00",Samsung
HUAWEI MATE 8 - 64GB Mocha Brown,"2,049.00",Huawei
HUAWEI NEXUS 6P 64GB ORI HUAWEI MSIA SET (GOLD),"2,349.00",Huawei
Huawei Y5C (Black),249.00,Huawei
Huawei Y5C (White),249.00,Huawei
Huawei Mate 8 32GB/3GB (Space Gray),"1,649.00",Huawei
Huawei Mate 8 32GB/3GB (Moonlight Silver) ,"1,649.00",Huawei
Huawei Mate 8 64GB/4GB (Champagne Gold),"2,049.00",Huawei
Sony Xperia Z5 -Premium (Black),"2,299.00",Sony
Sony Xperia Z5 -Premium (Gold),"2,299.00",Sony
Lenovo P1m (White),459.00,Lenovo
Huawei G8 RIO-L01 (Space Grey),"1,049.00",Huawei
Lenovo A7000 Plus (Black),515.00,Lenovo
Lenovo A7000 Plus (White),515.00,Lenovo
Samsung Galaxy S6 Edge Plus Dual SM-G9287C (Black),"2,399.00",Samsung
Huawei G8 RIO-L01 (Gold),"1,049.00",Huawei
Lenovo A6010 Smartphone (Quad Core 1.2Ghz / 2GB RAM / 16GB) - Black [FREE GIFT: Car Charger],399.00,Lenovo
Lenovo A6010 Smartphone (Quad Core 1.2Ghz / 2GB RAM / 16GB) - White [FREE GIFT:  Car Charger],399.00,Lenovo
HUAWEI HONOR 5A 2GB/16GB (Silver) [FREE GIFT: Car Charger],599.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Grey) [FREE GIFT: Car Charger],599.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Gold) [FREE GIFT: 16GB Memory Card + Car Charger],629.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Silver) [FREE GIFT: 16GB Memory Card + Car Charger],599.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Grey) [FREE GIFT: 16GB Memory Card + Car Charger],599.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Grey) [FREE GIFT: Mini Rubber Mobile Stand],599.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Gold) [FREE GIFT: Tempered Glass + Silicone Case],629.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Silver) [FREE GIFT: Tempered Glass + Silicone Case],599.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Grey) [FREE GIFT: Tempered Glass + Silicone Case],599.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Gold) [FREE GIFT: Car Charger],629.00,Huawei
"Huawei Y3 II DualSim 4.5"" 8GB/1GB - Black [FREE GIFT: Mini Rubber Mobile Stand]",309.00,Huawei
"Huawei Y3 II DualSim 4.5"" 8GB/1GB - Gold [FREE GIFT: Mini Rubber Mobile Stand]",309.00,Huawei
"Huawei Y3 II DualSim 4.5"" 8GB/1GB - White [FREE GIFT: Mini Rubber Mobile Stand]",309.00,Huawei
HUAWEI HONOR 5A 2GB/16GB (Gold) [FREE GIFT: Mini Rubber Mobile Stand],629.00,Huawei
Nokia 215 (Black),138.00,Nokia
Nokia 215 (Green),138.00,Nokia
Nokia 225 Dual Sim (Black),199.00,Nokia
Nokia 225 Dual Sim (Bright Red),199.00,Nokia
Lenovo Vibe Shot Z90a40 32GB (Red),"1,199.00",Lenovo
LG G4 H815 32GB (Leather Black),"1,699.00",LG
LG G4 H815 32GB (Leather Brown),"1,699.00",LG
LG G4 H815 32GB (Leather Red),"1,699.00",LG
Meizu M1 Note M463 16GB (Pink),599.00,Meizu
Meizu M1 Note M463 16GB (Yellow),599.00,Meizu
Meizu M1 Note M463 32GB (White),699.00,Meizu
Meizu M1 Note M463 32GB (Blue),699.00,Meizu
Meizu M1 Note M463 32GB (Yellow),699.00,Meizu
Meizu M2 Note M571H 16GB (Grey),699.00,Meizu
Meizu MX4 M461 32GB (Gold),799.00,Meizu
Meizu MX4 M461 32GB (Gray),799.00,Meizu
Meizu MX4 M461 32GB (Silver),799.00,Meizu
Meizu MX4 M461 16GB (Gold),699.00,Meizu
Lenovo P90 (Black),799.00,Lenovo
Lenovo P90 (White),799.00,Lenovo
Lenovo Vibe Shot Z90a40 32GB (Grey),"1,199.00",Lenovo
Apple iPhone 6S Plus 64GB (Gray),"4,199.00",Apple
Lenovo A2010 (Black),359.00,Lenovo
Lenovo A316i (Black),188.91,Lenovo
Lenovo A5000 (Black),439.00,Lenovo
Lenovo A5000 (White),439.00,Lenovo
Apple iPhone 6S 128GB (Rose Gold),"4,199.00",Apple
Apple iPhone 6S 128GB (Silver),"4,199.00",Apple
Apple iPhone 6S 16GB (Gold),"3,199.00",Apple
Apple iPhone 6S 16GB (Gray),"3,199.00",Apple
Apple iPhone 6S 16GB (Silver),"3,199.00",Apple
Apple iPhone 6S 64GB (Gold),"3,699.00",Apple
Apple iPhone 6S 64GB (Gray),"3,699.00",Apple
Apple iPhone 6S 64GB (Rose Gold),"3,699.00",Apple
Apple iPhone 6S Plus 128GB (Gold),"4,699.00",Apple
Apple iPhone 6S Plus 16GB (Gold),"3,699.00",Apple
Apple iPhone 6S Plus 16GB (Gray),"3,699.00",Apple
Apple iPhone 6S Plus 16GB (Rose Gold),"3,699.00",Apple
Apple iPhone 6S Plus 16GB (Silver),"3,699.00",Apple
Apple iPhone 6S Plus 64GB (Gold),"4,199.00",Apple
Apple iPhone 6 64GB (Gold),"3,159.00",Apple
Apple iPhone 6 64GB (Space Gray),"3,159.00",Apple
Apple iPhone 6 64GB (Silver),"3,159.00",Apple
Apple iPhone 6 Plus 128GB (Silver),"3,999.00",Apple
Apple iPhone 6 Plus 16GB (Gold),"2,969.00",Apple
Apple iPhone 6 Plus 64GB (Gray),"3,599.00",Apple
Apple iPhone 6S 128GB (Gold),"4,199.00",Apple
Apple iPhone 6S 128GB (Gray),"4,199.00",Apple
SAMSUNG GALAXY A5-A510 (2016) White,"1,519.00",Samsung
SAMSUNG GALAXY A7-A710 (2016) Black,"1,789.00",Samsung
SAMSUNG GALAXY A7-A710 (2016) White,"1,789.00",Samsung
LENOVO P70 [4000Mah Battery] - Blue,600.00,Lenovo
Sony Xperia M4 Aqua Dual E2312 (White),927.00,Sony
HTC Desire 820S Dual Sim (Gray),927.00,HTC
HTC Desire 820S Dual Sim (White),927.00,HTC
HTC One E9 Plus Dual Sim (Gold Sepia),"1,700.00",HTC
Asus Zenfone Selfie 32GB ZD551KL (Blue),999.00,ASUS
Asus Zenfone 2 Laser 16GB ZE500KL (White),648.00,ASUS
ASUS ZENFONE GO - 16GB (BLACK),519.00,
Samsung Galaxy A5 SM-A500F (Black),"1,349.00",Samsung
[IMPORTED]LG G4 H815 32GB (Leather Brown),"1,649.00",LG
[IMPORTED]LG G4 H815 32GB (Leather Red),"1,649.00",LG
[IMPORTED]LG G4 H815 32GB (Leather Skyblue),"1,649.00",LG
[IMPORTED]LG G4 Dual LTE H818 (Leather Beige),"1,699.00",LG
[IMPORTED]LG G4 Dual LTE H818 (Leather Black),"1,699.00",LG
[IMPORTED]LG G4 Dual LTE H818 (Leather Red),"1,699.00",LG
[IMPORTED]LG G4 Dual LTE H818 (Leather Skyblue),"1,699.00",LG
[IMPORTED]LG V10 Dual Sim H961N (Brown Beige),"2,899.00",LG
[IMPORTED]LG V10 Dual Sim H961N (Leather Black),"2,899.00",LG
[IMPORTED]LG G4 H815 32GB (Leather Black),"1,649.00",LG
Sony Xperia Z5 Dual E6683 (White),"2,559.00",Sony
Xiaomi Redmi 2 4G Dark (Grey),429.00,Xiaomi
Xiaomi Redmi 2 4G (White),429.00,Xiaomi
Xiaomi Redmi Note 2 LTE Dual Sim (White),699.00,Xiaomi
Sony Xperia M5 Dual E5663 (Gold),"1,499.00",Sony
Sony Xperia Z5 Dual E6683 (Graphite Black),"2,559.00",Sony
Sony Xperia Z5 Dual E6683 (Gold),"2,559.00",Sony
Sony Xperia Z5 Dual E6683 (Green),"2,559.00",Sony
Sony Xperia C5 Ultra Dual E5563 (Mint),"1,299.00",Sony
Sony Xperia C5 Ultra Dual E5563 (White),"1,299.00",Sony
Samsung Galaxy A5 SM-A500F (Gold),998.87,Samsung
Samsung Galaxy A5 SM-A500F (Silver),999.00,Samsung
Samsung Galaxy A5 SM-A500F (White),999.00,Samsung
Samsung Galaxy A7 SM-A700F (Gold),"1,369.00",Samsung
Samsung Galaxy A8 (Black),"1,739.00",Samsung
Samsung Galaxy A8 (Gold),"1,739.00",Samsung
Samsung Galaxy A8 (White),"1,739.00",Samsung
Samsung Galaxy J2 (Gold),579.00,Samsung
Nokia 225 Dual Sim (White),199.00,Nokia
Microsoft Lumia 640 LTE (Black),699.00,Microsoft
Microsoft Lumia 640 LTE (Cyan),699.00,Microsoft
Microsoft Lumia 640 LTE (Orange),699.00,Microsoft
Microsoft Lumia 640 LTE (White),699.00,Microsoft
Meizu MX4 Pro M462 16GB (Gray),"1,199.00",Meizu
Nokia 105 (Black),88.00,Nokia
Nokia 105 (Bright Red),88.00,Nokia
Samsung Galaxy V Plus Black,279.00,Samsung
Lenovo P1ma40 Black,589.00,Lenovo
SAMSUNG GALAXY J2 - BLACK,558.00,Samsung
SAMSUNG GALAXY J2 - WHITE,559.00,Samsung
HUAWEI HONOR 7 ENHANCED 32GB (Gold),"1,339.00",Huawei
"ASUS ZenFone 2 Deluxe ZE551ML-6D653WW (Blue) - 5.5""/Z3580/4GB/128GB/3000MAH/ANDROID WW","1,566.00",ASUS
ASUS ZenFone Zoom ZX551ML-1A058WW (Black) - INTEL Z3590/LTE/4GB/128GB,"2,055.00",ASUS
Asus Zenfone 2 Laser 16GB ZE500KL (1.0GHz) (Black),579.00,ASUS
Asus Zenfone 2 Laser 16GB ZE500KL (1.0GHz) (Red),579.00,ASUS
Asus Zenfone 2 Laser 16GB ZE500KL (1.0GHz) (Blue),579.00,ASUS
Lenovo K4 Note A7010 16GB (Black),799.00,Lenovo
Samsung Galaxy A5 16GB (Black),"1,269.00",Samsung
Samsung Galaxy A5 16GB (Gold),"1,269.00",Samsung
Samsung Galaxy A5 16GB (Pink Gold),"1,269.00",Samsung
Asus Zenfone 2 Laser 16GB ZE500KL (1.0GHz) (White),579.00,ASUS
Lenovo PHAB Plus PB1-770M 32GB (Gold),"1,039.00",Lenovo
Lenovo A2010 (Black),319.00,Lenovo
Samsung Galaxy A5 16GB (White),"1,269.00",Samsung
Samsung Galaxy J7 2016 16GB - Gold,979.00,Samsung
Sony Xperia XA F3116 16GB (Black),"1,209.00",Sony
Sony Xperia XA F3116 16GB (Gold),"1,209.00",Sony
Asus Zenfone 2 ZE551ML 64GB (Red),"1,269.00",ASUS
Samsung Galaxy J2 (Black),559.00,Samsung
Samsung Galaxy V Plus G318HZ (Black),289.00,Samsung
LENOVO A6010 16GB - White,545.00,Lenovo
Sony Xperia XA F3116 16GB (White),"1,209.00",Sony
Xiaomi Mi 5 32GB (White) Xiaomi MY Warranty,"1,499.00",Xiaomi
Samsung Galaxy J7 2016 16GB - Black,979.00,Samsung
LENOVO A6010 16GB - Black,545.00,Lenovo
LENOVO A6010 16GB - Red,545.00,Lenovo
HUAWEI MATE 8 - 32GB Space Gray (FREE CASING),"1,955.00",Huawei
Xiaomi Redmi Note 3 16GB (Silver),769.00,Xiaomi
Xiaomi Redmi Note 3 32GB (Gold) - Gold,879.00,Xiaomi
Xiaomi Redmi Note 3 32GB (Grey),879.00,Xiaomi
Asus Zenfone Go ZC500TG 16GB (White),479.00,ASUS
